Region,add,heat,cook,stir,place,mix,cover,remove,serve,Others
Italian,29947,15998,17598,12530,7904,6512,6789,7085,5717,108781
Mexican,18809,12146,9960,8491,7017,5878,5657,5421,5293,78191
Indian Subcontinent,16759,7838,7395,6223,1755,4125,2939,2523,3000,35118
French,9214,5831,4902,3679,3820,2309,2937,3626,2493,48295
South American,12924,6449,7448,5200,3327,2882,3911,3050,2763,38876
Chinese and Mongolian,13227,6980,5576,6053,2214,2970,2568,2804,2547,32317
Canadian,7815,3598,3233,3982,2880,3114,2258,2494,1733,40104
Australian,6630,3540,3644,3363,3220,2513,1611,2074,2140,33287
US,3052,5392,4035,5570,2902,2652,2071,1979,1004,31551
Deutschland ,6422,3169,2815,2939,2098,2352,1968,2039,1299,30730
UK,5662,2586,2254,2674,2313,2299,1629,1865,1437,31127
Greek,6135,3058,2687,2223,2214,1806,1852,1784,1492,27013
Middle Eastern,6723,3159,2745,2455,1928,1917,2046,1509,1473,23742
Spanish and Portuguese,5420,2969,2697,1880,1216,867,1566,1427,1082,16919
Eastern European,4370,1855,1824,1745,1339,1490,1412,1151,753,17271
Scandinavian,3614,1492,1137,1651,1317,1660,1071,1030,872,19331
Caribbean,4256,2438,2047,1796,1362,1230,1235,1197,1121,16094
Thai,5544,3049,2525,2334,972,958,768,1021,1235,14271
Rest Africa,4680,2393,1874,1987,1006,1250,1282,998,1049,15720
Irish,3598,1602,1518,1701,1211,1124,1144,1051,747,16237
Southeast Asian,3632,2089,1728,1549,897,871,776,872,901,11720
Japanese,2925,1852,1406,1042,1002,1134,669,901,749,12058
Northern Africa,3163,1749,1543,1252,737,714,1118,743,744,9720
Belgian,1651,601,640,552,459,590,425,461,372,7172
Korean,963,614,581,409,332,390,243,281,229,3787
Central American,787,314,294,264,209,256,198,175,153,2804
